Gene,Influence_Score,Num_Connections
SRSF6,1.000000165309757,145.0
SPCS2,1.0000001506414264,59.0
IMMT 2,1.0000001466833055,146.0
NONO,1.0000001455191523,248.0
CYBB,1.0000001431326382,176.0
HNRNPL,1.0000001399312168,130.0
CTSS,1.0000001396983862,79.0
IMMT 1,1.000000139232725,142.0
SF3A3,1.0000001387670636,120.0
POTEF,1.0000001317821443,109.0
CALD1 1,1.0000001223525032,199.0
MTA3,1.0000001192092896,46.0
CHD5,1.0000001129228622,164.0
PLS3,1.0000001112930477,133.0
MSH6,1.0000001068692654,136.0
GLRX,1.0000001066364348,95.0
MYO1G,1.0000001050066203,80.0
CKAP5,1.0000001043081284,35.0
PFKM,1.0000001043081284,45.0
HNRNPDL,1.0000001033768058,58.0
NP_001139653,1.0000001024454832,124.0
ITGB2,1.0000001019216143,164.0
PDLIM7 1,1.0000001018634066,200.0
SFPQ,1.0000001010484993,234.0
HNRNPH2,1.0000001001171768,84.0
TMED2,1.0000001001171768,40.0
COTL1,1.0000000977888703,73.0
RBBP7,1.0000000968575478,129.0
TIMM9,1.0000000968575478,50.0
NNMT,1.0000000961590558,92.0
LMNA 1,1.0000000952277333,95.0
GMFG,1.0000000942964107,99.0
SRSF1,1.0000000938307494,171.0
MYH11 1,1.0000000924337655,94.0
TROVE2,1.0000000912696123,36.0
CAMK2D,1.0000000884756446,28.0
TIMM13,1.0000000884756446,45.0
NASP,1.0000000866129994,98.0
PUS7,1.0000000866129994,38.0
NDUFAB1,1.0000000863801688,80.0
AHCY,1.0000000856816769,24.0
TPM2 1,1.0000000854488462,127.0
HNRNPM,1.0000000854488462,202.0
IQGAP1,1.0000000838190317,50.0
HNMT,1.0000000838190317,36.0
STAG2 1,1.0000000838190317,45.0
STK10,1.0000000831205398,107.0
PDHA1,1.0000000828877091,135.0
LARP1,1.0000000819563866,27.0
RPS3A,1.0000000819563866,60.0
ACTG2,1.0000000811414793,146.0
LACTB,1.000000080326572,92.0
COPB2,1.0000000802101567,79.0
